,Unnamed: 0,ID,OTAZKA,PEDAGOG,HODNOTA_CLOB_OCISTENO,LANG,token,lemma,pos,DetectSentiment,SENTIMENT,lemma_cleaned,token_cleaned,pos_cleaned
1917,1917,740442,54,,"Dobývání znalostí z databází, DZD praktické aplikace - v obou případech v teorii a praxi jednotlivých algoritmů data miningu - to ale nevadí, alespoň jsme to probírali z mnoha úhlů a lépe to pochopili (z předmětu BI nejlépe)",['cs'],"['Conquering' 'knowledge' 'from' 'databases' ',' 'DZD' 'practical'
 'applications' '-' 'in' 'both' 'cases' 'in' 'the' 'theory' 'and'
 'practice' 'of' 'individual' 'data' 'mining' 'algorithms' '-' 'it'
 ""doesn't"" 'matter' ',' 'at' 'least' 'we' 'discussed' 'it']","['Conquering' 'knowledge' 'database' ',' 'DZD' 'practical' 'application'
 '-' 'case' 'theory' 'practice' 'individual' 'data' 'mining' 'algorithm'
 '-' 'matter' ',' 'discuss']","['VERB' 'NOUN' 'ADP' 'NOUN' 'PUNCT' 'PROPN' 'ADJ' 'NOUN' 'PUNCT' 'ADP'
 'DET' 'NOUN' 'ADP' 'DET' 'NOUN' 'CCONJ' 'NOUN' 'ADP' 'ADJ' 'NOUN' 'NOUN'
 'NOUN' 'PUNCT' 'PRON' 'VERB' 'NOUN' 'PUNCT' 'ADV' 'ADV' 'PRON' 'VERB'
 'PRON']",positive,Neutral,"Conquering knowledge database , DZD practical application
 - case theory practice individual data mining algorithm
 - matter , discuss","Conquering knowledge from databases , DZD practical
 applications - in both cases in the theory and
 practice of individual data mining algorithms - it
 ""doesnt"" matter , at least we discussed it","VERB NOUN ADP NOUN PUNCT PROPN ADJ NOUN PUNCT ADP
 DET NOUN ADP DET NOUN CCONJ NOUN ADP ADJ NOUN NOUN
 NOUN PUNCT PRON VERB NOUN PUNCT ADV ADV PRON VERB
 PRON"
1918,1918,740450,56,,přednášky a konzultace přes teams,['cs'],['lectures' 'and' 'consultation' 'through' 'teams'],['lecture' 'consultation' 'team'],['NOUN' 'CCONJ' 'NOUN' 'ADP' 'NOUN'],negative,Positive,lecture consultation team,lectures and consultation through teams,NOUN CCONJ NOUN ADP NOUN
1919,1919,740452,47,,"velmi zajímavé přednášky, praktické zaměření kurzu, velký přínos do budoucnosti",['cs'],"['very' 'interesting' 'lectures' ',' 'practical' 'course' 'orientation'
 ',' 'great' 'contribution' 'to' 'the' 'future']","['interest' 'lecture' ',' 'practical' 'orientation' ',' 'great'
 'contribution' 'future']","['ADV' 'ADJ' 'NOUN' 'PUNCT' 'ADJ' 'NOUN' 'NOUN' 'PUNCT' 'ADJ' 'NOUN' 'ADP'
 'DET' 'NOUN']",positive,Positive,"interest lecture , practical orientation , great
 contribution future","very interesting lectures , practical course orientation
 , great contribution to the future","ADV ADJ NOUN PUNCT ADJ NOUN NOUN PUNCT ADJ NOUN ADP
 DET NOUN"
1920,1920,740454,57,,"až moc velký důraz na samostatnost při řešení semestrální práce, hlavně v začátcích neochota cvičící nám pomoct s řešením, i když nejsme z fakulty FIS - musela jsem se dotazovat jiných cvičících, kteří ani sami často neznali správnou odpověď. Jak ji potom máme znát my? Nelíbilo se mi, že plno přednášek odpadlo, někdy nám ani nedali vědět. Nelíbí se mi nedostatek materiálů ke studiu",['cs'],"['too' 'much' 'emphasis' 'on' 'autonomy' 'in' 'solving' 'semester' 'work'
 ',' 'especially' 'in' 'the' 'beginnings' 'of' 'unwillingness' 'to' 'help'
 'us' 'with' 'the' 'solution' ',' 'even' 'though' 'we' 'are' 'not' 'from'
 'FIS' '-' 'had' 'to']","['emphasis' 'autonomy' 'solve' 'semester' 'work' ',' 'beginnings'
 'unwillingness' 'solution' ',' 'FIS' '-']","['ADV' 'ADJ' 'NOUN' 'ADP' 'NOUN' 'SCONJ' 'VERB' 'ADJ' 'NOUN' 'PUNCT' 'ADV'
 'ADP' 'DET' 'NOUN' 'ADP' 'NOUN' 'PART' 'VERB' 'PRON' 'ADP' 'DET' 'NOUN'
 'PUNCT' 'ADV' 'SCONJ' 'PRON' 'AUX' 'PART' 'ADP' 'PROPN' 'PUNCT' 'VERB'
 'PART']",positive,Negative,"emphasis autonomy solve semester work , beginnings
 unwillingness solution , FIS -","too much emphasis on autonomy in solving semester work
 , especially in the beginnings of unwillingness to help
 us with the solution , even though we are not from
 FIS - had to","ADV ADJ NOUN ADP NOUN SCONJ VERB ADJ NOUN PUNCT ADV
 ADP DET NOUN ADP NOUN PART VERB PRON ADP DET NOUN
 PUNCT ADV SCONJ PRON AUX PART ADP PROPN PUNCT VERB
 PART"
1921,1921,751448,47,,Vhled do světa projektového managementu. Přednášky z praxe. ,['cs'],"['View' 'of' 'the' 'world' 'of' 'project' 'management' '.' 'Lectures'
 'from' 'practice' '.']",['View' 'world' 'project' 'management' '.' 'Lectures' 'practice' '.'],"['NOUN' 'ADP' 'DET' 'NOUN' 'ADP' 'NOUN' 'NOUN' 'PUNCT' 'VERB' 'ADP' 'NOUN'
 'PUNCT']",negative,Positive,View world project management . Lectures practice .,"View of the world of project management . Lectures
 from practice .","NOUN ADP DET NOUN ADP NOUN NOUN PUNCT VERB ADP NOUN
 PUNCT"
1922,1922,740782,47,,"byly pouze tři přednášky s panem Molnárem -moc teoretické a nudné, a dvě/tři s panem černým - ty byly podstatně zajímavější a praktičtější. Ty ",['cs'],"['There' 'were' 'only' 'three' 'lectures' 'with' 'Mr' 'Molnar' '-' 'power'
 'theoretical' 'and' 'boring' ',' 'and' 'two/three' 'with' 'Mr' 'Black'
 '-' 'those' 'were' 'significantly' 'more' 'interesting' 'and' 'practical'
 '.']","['lecture' 'Mr' 'Molnar' '-' 'power' 'theoretical' 'boring' ','
 'two/three' 'Mr' 'Black' '-' 'significantly' 'interest' 'practical' '.']","['PRON' 'VERB' 'ADV' 'NUM' 'NOUN' 'ADP' 'PROPN' 'PROPN' 'PUNCT' 'NOUN'
 'ADJ' 'CCONJ' 'VERB' 'PUNCT' 'CCONJ' 'VERB' 'ADP' 'PROPN' 'PROPN' 'PUNCT'
 'PRON' 'AUX' 'ADV' 'ADV' 'ADJ' 'CCONJ' 'ADJ' 'PUNCT']",negative,Positive,"lecture Mr Molnar - power theoretical boring ,
 two/three Mr Black - significantly interest practical .","There were only three lectures with Mr Molnar - power
 theoretical and boring , and two/three with Mr Black
 - those were significantly more interesting and practical
 .","PRON VERB ADV NUM NOUN ADP PROPN PROPN PUNCT NOUN
 ADJ CCONJ VERB PUNCT CCONJ VERB ADP PROPN PROPN PUNCT
 PRON AUX ADV ADV ADJ CCONJ ADJ PUNCT"
1923,1923,740784,57,,"Pár přednášek vůbec neproběhlo, byly dostupné pouze materiály, které ale samy o sobě byly k ničemu. K vypracování semestrální práce jsme neměli skoro žádné informace, nevěděli jsme jak téma pojmout vzhledem k tomu, že ani předmět sám o sobě byl o ničem.",['cs'],"['A' 'few' 'lectures' 'were' 'not' 'at' 'all' ',' 'only' 'materials'
 'were' 'available' ',' 'but' 'they' 'were' 'of' 'no' 'use' 'in'
 'themselves' '.' 'We' 'had' 'little' 'information' 'to' 'do' 'the'
 'semester' 'work' ',' 'we' 'did' 'not' 'know']","['lecture' ',' 'material' ',' '.' 'information' 'semester' 'work' ',']","['DET' 'ADJ' 'NOUN' 'AUX' 'PART' 'ADV' 'ADV' 'PUNCT' 'ADV' 'NOUN' 'AUX'
 'ADJ' 'PUNCT' 'CCONJ' 'PRON' 'AUX' 'ADP' 'DET' 'NOUN' 'ADP' 'PRON'
 'PUNCT' 'PRON' 'VERB' 'ADJ' 'NOUN' 'PART' 'VERB' 'DET' 'NOUN' 'NOUN'
 'PUNCT' 'PRON' 'AUX' 'PART' 'VERB']",negative,Negative,"lecture , material , . information semester work ,","A few lectures were not at all , only materials
 were available , but they were of no use in
 themselves . We had little information to do the
 semester work , we did not know","DET ADJ NOUN AUX PART ADV ADV PUNCT ADV NOUN AUX
 ADJ PUNCT CCONJ PRON AUX ADP DET NOUN ADP PRON
 PUNCT PRON VERB ADJ NOUN PART VERB DET NOUN NOUN
 PUNCT PRON AUX PART VERB"
1924,1924,731744,57,, ,[],[],[],[],,Negative,,,
1925,1925,741050,45,,"I would like to see a change #7 so that it is not that long (although I understand the reasoning for it). Also maybe slightly more practical examples during a lecture. Especially CORS, which is something I had constant headaches with and it would be much easier to just show it what it is, and what's the best way to approach such errors in a safe and sensible way",['en'],"['I' 'would' 'like' 'to' 'see' 'a' 'change' '#7' 'so' 'that' 'it' 'is'
 'not' 'that' 'long']",['change' '#7' 'long'],"['PRON' 'AUX' 'VERB' 'PART' 'VERB' 'DET' 'NOUN' 'NOUN' 'SCONJ' 'SCONJ'
 'PRON' 'AUX' 'PART' 'ADV' 'ADV']",positive,Negative,change #7 long,"I would like to see a change #7 so that it is
 not that long","PRON AUX VERB PART VERB DET NOUN NOUN SCONJ SCONJ
 PRON AUX PART ADV ADV"
1926,1926,741059,56,,"The biggest plus for me was the fact that I didn't have to spend an hour going to school and another going home. Physical attendance should be optional, I didn't feel like it would add anything valuable to this subject.",['en'],"['The' 'biggest' 'plus' 'for' 'me' 'was' 'the' 'fact' 'that' 'I' ""didn't""
 'have' 'to' 'spend' 'an' 'hour' 'going' 'to' 'school' 'and' 'another'
 'going']",['big' 'fact' 'spend' 'hour' 'school'],"['DET' 'ADJ' 'CCONJ' 'ADP' 'PRON' 'AUX' 'DET' 'NOUN' 'SCONJ' 'PRON' 'AUX'
 'VERB' 'PART' 'VERB' 'DET' 'NOUN' 'VERB' 'ADP' 'NOUN' 'CCONJ' 'DET'
 'VERB']",positive,Positive,big fact spend hour school,"The biggest plus for me was the fact that I ""didnt""
 have to spend an hour going to school and another
 going","DET ADJ CCONJ ADP PRON AUX DET NOUN SCONJ PRON AUX
 VERB PART VERB DET NOUN VERB ADP NOUN CCONJ DET
 VERB"
1927,1927,741060,47,,"Appriciate an actual feedback on the work I've done (and what could be better). 
Also your presentations contained a lot of good information, which is something I consider rare on our university.",['en'],"['Appriciate' 'an' 'actual' 'feedback' 'on' 'the' 'work' ""I've"" 'done' '('
 'and' 'what' 'could' 'be' 'better' ').']",['Appriciate' 'actual' 'feedback' 'work' '(' ').'],"['VERB' 'DET' 'ADJ' 'NOUN' 'ADP' 'DET' 'NOUN' 'PROPN' 'VERB' 'PUNCT'
 'CCONJ' 'PRON' 'AUX' 'AUX' 'ADJ' 'PROPN']",positive,Positive,Appriciate actual feedback work ( ).,"Appriciate an actual feedback on the work ""Ive"" done (
 and what could be better ).","VERB DET ADJ NOUN ADP DET NOUN PROPN VERB PUNCT
 CCONJ PRON AUX AUX ADJ PROPN"
1928,1928,741064,57,,"Personally I don't like zoom (don't trust them), but since they still allow web version without installing their app it's fine.",['en'],"['Personally' 'I' ""don't"" 'like' 'zoom' '(' ""don't"" 'trust' 'them' '),'
 'but' 'since' 'they' 'still' 'allow' 'web' 'version']","['Personally' 'zoom' '(' 'trust' '),' 'web' 'version']","['ADV' 'PRON' 'VERB' 'ADP' 'NOUN' 'PUNCT' 'NOUN' 'VERB' 'PRON' 'NOUN'
 'CCONJ' 'SCONJ' 'PRON' 'ADV' 'VERB' 'NOUN' 'NOUN']",positive,Negative,"Personally zoom ( trust ), web version","Personally I ""dont"" like zoom ( ""dont"" trust them ),
 but since they still allow web version","ADV PRON VERB ADP NOUN PUNCT NOUN VERB PRON NOUN
 CCONJ SCONJ PRON ADV VERB NOUN NOUN"
1929,1929,741157,56,,"Databáze jsou ukázkovým příkladem toho jak by měla distanční výuka probíhat. Výuka probíhala podle stanoveného rozvrhu - s tím že byla možnost cvičení kombinovat a chodit na cvičeních jiných profesorů - nehledě na to že komunikace přes teams byla na tolik dynamická, že když se např. pokazilo něco v sobotu ráno cvičící měli tu snahu to pomoc opravit již v průběhu víkendu.  ",['cs'],"['The' 'database' 'is' 'a' 'demonstration' 'of' 'how' 'distance'
 'learning' 'should' 'take' 'place' '.' 'The' 'course' 'was' 'based' 'on'
 'a' 'set' 'schedule' '-' 'with' 'the' 'possibility' 'of' 'combining'
 'the' 'exercise' 'and']","['database' 'demonstration' 'distance' 'learn' 'place' '.' 'base' 'set'
 'schedule' '-' 'possibility' 'combine' 'exercise']","['DET' 'NOUN' 'AUX' 'DET' 'NOUN' 'ADP' 'ADV' 'SCONJ' 'VERB' 'AUX' 'VERB'
 'NOUN' 'PUNCT' 'DET' 'NOUN' 'AUX' 'VERB' 'ADP' 'DET' 'ADJ' 'NOUN' 'PUNCT'
 'ADP' 'DET' 'NOUN' 'SCONJ' 'VERB' 'DET' 'NOUN' 'CCONJ']",negative,Positive,"database demonstration distance learn place . base set
 schedule - possibility combine exercise","The database is a demonstration of how distance
 learning should take place . The course was based on
 a set schedule - with the possibility of combining
 the exercise and","DET NOUN AUX DET NOUN ADP ADV SCONJ VERB AUX VERB
 NOUN PUNCT DET NOUN AUX VERB ADP DET ADJ NOUN PUNCT
 ADP DET NOUN SCONJ VERB DET NOUN CCONJ"
1930,1930,744721,45,,"zrušit přednášky, věnovat více prostoru microsoft office",['cs'],"['cancel' 'lectures' ',' 'devote' 'more' 'space' 'to' 'the' 'microsoft'
 'office']","['cancel' 'lecture' ',' 'devote' 'space' 'microsoft' 'office']",['VERB' 'NOUN' 'PUNCT' 'VERB' 'ADJ' 'NOUN' 'ADP' 'DET' 'ADJ' 'NOUN'],negative,Negative,"cancel lecture , devote space microsoft office","cancel lectures , devote more space to the microsoft
 office",VERB NOUN PUNCT VERB ADJ NOUN ADP DET ADJ NOUN
1931,1931,744730,47,,líbí se mi cvičení ,['cs'],['I' 'like' 'the' 'exercise'],['exercise'],['PRON' 'VERB' 'DET' 'NOUN'],positive,Positive,exercise,I like the exercise,PRON VERB DET NOUN
1932,1932,735432,45,,"Vzhledem k spojení přednášky a cvičení je občas problém udržet pozornost (v tomto ohledu podobné problémy ovšem nastaly i u jiných předmětů, které zajišťovaly alespoň nějakou náhradu výuky v tomto období). Prezentace semestrální práce mi přišla zbytečná, preferuji osobnější formu obhajoby.",['cs'],"['Due' 'to' 'the' 'combination' 'of' 'lectures' 'and' 'exercises' 'it'
 'is' 'sometimes' 'difficult' 'to' 'keep' 'attention' '(' 'there' 'were'
 'similar' 'problems' 'in' 'this' 'respect' 'also' 'for' 'other'
 'subjects' 'that' 'provided' 'at' 'least' 'some' 'substitute' 'for'
 'teaching' 'during' 'this' 'period' ').' 'Pre']","['Due' 'combination' 'lecture' 'exercise' 'difficult' 'attention' '('
 'similar' 'problem' 'respect' 'subject' 'provide' 'substitute' 'teach'
 'period' ').' 'Pre']","['ADP' 'ADP' 'DET' 'NOUN' 'ADP' 'NOUN' 'CCONJ' 'VERB' 'PRON' 'AUX' 'ADV'
 'ADJ' 'PART' 'VERB' 'NOUN' 'PUNCT' 'PRON' 'VERB' 'ADJ' 'NOUN' 'ADP' 'DET'
 'NOUN' 'ADV' 'ADP' 'ADJ' 'NOUN' 'PRON' 'VERB' 'ADV' 'ADV' 'DET' 'NOUN'
 'SCONJ' 'VERB' 'ADP' 'DET' 'NOUN' 'ADP' 'PROPN']",positive,Negative,"Due combination lecture exercise difficult attention (
 similar problem respect subject provide substitute teach
 period ). Pre","Due to the combination of lectures and exercises it
 is sometimes difficult to keep attention ( there were
 similar problems in this respect also for other
 subjects that provided at least some substitute for
 teaching during this period ). Pre","ADP ADP DET NOUN ADP NOUN CCONJ VERB PRON AUX ADV
 ADJ PART VERB NOUN PUNCT PRON VERB ADJ NOUN ADP DET
 NOUN ADV ADP ADJ NOUN PRON VERB ADV ADV DET NOUN
 SCONJ VERB ADP DET NOUN ADP PROPN"
1933,1933,735439,56,,"Z osobní zkušenosti doporučuji zvážit online formu přednášek jako nový standard. Osobně mám mnohem cítím větší chuť se přednášky zůčastnit a navíc u této formy existuje možnost kdykoliv přednášku vyslechnout znovu (pokud je vod uploadován), což je ideální přípravou ke zkoušce a případnou náhradou pro studenty, kteří se nemohli z jakéhokoliv důvodu dostavit.",['cs'],"['From' 'personal' 'experience' 'I' 'recommend' 'considering' 'online'
 'form' 'lectures' 'as' 'a' 'new' 'standard' '.' 'Personally' 'I' 'feel'
 'much' 'more' 'inclined' 'to' 'attend' 'lectures' 'and' 'in' 'addition'
 'there' 'is' 'a' 'possibility' 'for' 'this' 'form']","['personal' 'experience' 'recommend' 'online' 'form' 'lecture' 'standard'
 '.' 'Personally' 'feel' 'inclined' 'attend' 'lecture' 'addition'
 'possibility' 'form']","['ADP' 'ADJ' 'NOUN' 'PRON' 'VERB' 'VERB' 'ADJ' 'NOUN' 'NOUN' 'ADP' 'DET'
 'ADJ' 'NOUN' 'PUNCT' 'ADV' 'PRON' 'VERB' 'ADV' 'ADV' 'ADJ' 'PART' 'VERB'
 'NOUN' 'CCONJ' 'ADP' 'NOUN' 'ADV' 'VERB' 'DET' 'NOUN' 'ADP' 'PRON' 'NOUN']",positive,Positive,"personal experience recommend online form lecture standard
 . Personally feel inclined attend lecture addition
 possibility form","From personal experience I recommend considering online
 form lectures as a new standard . Personally I feel
 much more inclined to attend lectures and in addition
 there is a possibility for this form","ADP ADJ NOUN PRON VERB VERB ADJ NOUN NOUN ADP DET
 ADJ NOUN PUNCT ADV PRON VERB ADV ADV ADJ PART VERB
 NOUN CCONJ ADP NOUN ADV VERB DET NOUN ADP PRON NOUN"
1934,1934,735440,47,,Skvělý přednes a zajímavá semestrální práce. Předmět je v podstatě úvodem do specifického oboru IT a v tomto ohledu byl perfektní reklamou pro navazující studium tohoto oboru.,['cs'],"['Great' 'performance' 'and' 'interesting' 'semester' 'work' '.' 'The'
 'subject' 'is' 'basically' 'an' 'introduction' 'to' 'a' 'specific' 'IT'
 'field' 'and' 'in' 'this' 'respect' 'was' 'the' 'perfect' 'advertisement'
 'for' 'follow-up' 'study' 'of' 'this']","['Great' 'performance' 'interest' 'semester' 'work' '.' 'subject'
 'basically' 'introduction' 'specific' 'field' 'respect' 'perfect'
 'advertisement' 'follow-up' 'study']","['ADJ' 'NOUN' 'CCONJ' 'VERB' 'ADJ' 'NOUN' 'PUNCT' 'DET' 'NOUN' 'AUX' 'ADV'
 'DET' 'NOUN' 'ADP' 'DET' 'ADJ' 'PRON' 'VERB' 'CCONJ' 'ADP' 'DET' 'NOUN'
 'AUX' 'DET' 'ADJ' 'NOUN' 'ADP' 'ADJ' 'NOUN' 'ADP' 'PRON']",positive,Positive,"Great performance interest semester work . subject
 basically introduction specific field respect perfect
 advertisement follow-up study","Great performance and interesting semester work . The
 subject is basically an introduction to a specific IT
 field and in this respect was the perfect advertisement
 for follow-up study of this","ADJ NOUN CCONJ VERB ADJ NOUN PUNCT DET NOUN AUX ADV
 DET NOUN ADP DET ADJ PRON VERB CCONJ ADP DET NOUN
 AUX DET ADJ NOUN ADP ADJ NOUN ADP PRON"
1935,1935,735442,57,,Software zoom měl v nedávné době velké problémy s bezpečností. ,['cs'],"['Zoom' 'software' 'has' 'had' 'a' 'lot' 'of' 'security' 'issues'
 'recently' '.']",['Zoom' 'software' 'lot' 'security' 'issue' 'recently' '.'],['NOUN' 'NOUN' 'AUX' 'VERB' 'DET' 'NOUN' 'ADP' 'NOUN' 'NOUN' 'ADV' 'PUNCT'],negative,Negative,Zoom software lot security issue recently .,"Zoom software has had a lot of security issues
 recently .",NOUN NOUN AUX VERB DET NOUN ADP NOUN NOUN ADV PUNCT
1936,1936,737234,56,,"nelze hodnotit, neprobíhala",['cs'],"['cannot' 'be' 'evaluated' ',' 'not' 'in' 'progress']","['evaluate' ',' 'progress']",['PART' 'AUX' 'VERB' 'PUNCT' 'ADV' 'ADP' 'NOUN'],positive,Positive,"evaluate , progress","cannot be evaluated , not in progress",PART AUX VERB PUNCT ADV ADP NOUN
1937,1937,741149,54,,Překrývala - co se týká logiky uspořádání dat a principů - tento překryv jsem hodnotil pozitivně. ,['cs'],"['It' 'overlapped' '-' 'as' 'regards' 'data' 'arrangement' 'logic'
 'and?Principes' '-' 'I' 'assessed' 'this' 'overlap' 'positively' '.']","['overlap' '-' 'data' 'arrangement' 'logic' 'and?Principes' '-' 'assess'
 'overlap' 'positively' '.']","['PRON' 'VERB' 'PUNCT' 'SCONJ' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'PUNCT'
 'PRON' 'VERB' 'DET' 'NOUN' 'ADV' 'PUNCT']",positive,Neutral,"overlap - data arrangement logic and?Principes - assess
 overlap positively .","It overlapped - as regards data arrangement logic
 and?Principes - I assessed this overlap positively .","PRON VERB PUNCT SCONJ NOUN NOUN NOUN NOUN NOUN PUNCT
 PRON VERB DET NOUN ADV PUNCT"
1938,1938,741752,57,,"Občas kvalita internetu vyučujícího při přednáškách (když se hovor seká, moc z toho není)",['cs'],"['Sometimes' 'the' 'quality' 'of' 'the' 'Internet' 'teacher' 'during'
 'lectures' '(' 'when' 'the' 'call' 'is' 'cut' ',' 'not' 'much' 'of' 'it'
 ')']","['quality' 'Internet' 'teacher' 'lecture' '(' 'call' 'cut' ',' ')']","['ADV' 'DET' 'NOUN' 'ADP' 'DET' 'NOUN' 'NOUN' 'ADP' 'NOUN' 'PUNCT' 'ADV'
 'DET' 'NOUN' 'AUX' 'ADJ' 'PUNCT' 'ADV' 'ADV' 'ADP' 'PRON' 'PUNCT']",negative,Negative,"quality Internet teacher lecture ( call cut , )","Sometimes the quality of the Internet teacher during
 lectures ( when the call is cut , not much of it
 )","ADV DET NOUN ADP DET NOUN NOUN ADP NOUN PUNCT ADV
 DET NOUN AUX ADJ PUNCT ADV ADV ADP PRON PUNCT"
1939,1939,747940,45,,"Ze začátku předmětu jsem moc netušil o co se vlastně jedná, smysl předmětu a 1. semestrální práce jsem pochopil až při vypracovávání 2. semestrální práce a při přípravě na závěrečný test. Osobně bych zkusil zařadit více praktických věcí (jako byla například 2. semestrální práce), popřípadě by mohlo být zajímavé vyčlenit jednu hodinu na nějakého hosta z praxe, aby ukázal, jak se dané řešení používají atd. (i když chápu, že při kapacitě 30 lidí toto poměrně postrádá smysl).",['cs'],"['From' 'the' 'beginning' 'of' 'the' 'course' 'I' 'did' 'not' 'know'
 'what' 'it' 'was' ',' 'the' 'purpose' 'of' 'the' 'course' 'and' 'the'
 'first' 'semester' 'work' 'I' 'understood' 'only' 'when' 'working' 'on'
 'the' '2nd' 'semester' 'work' 'and' 'when' 'preparing' 'for' 'the'
 'final']","['begin' ',' 'purpose' 'semester' 'work' 'understand' 'work' '2nd'
 'semester' 'work' 'prepare' 'final']","['ADP' 'DET' 'NOUN' 'ADP' 'DET' 'NOUN' 'PRON' 'AUX' 'PART' 'VERB' 'PRON'
 'PRON' 'AUX' 'PUNCT' 'DET' 'NOUN' 'ADP' 'DET' 'NOUN' 'CCONJ' 'DET' 'ADJ'
 'NOUN' 'NOUN' 'PRON' 'VERB' 'ADV' 'ADV' 'VERB' 'ADP' 'DET' 'NOUN' 'NOUN'
 'NOUN' 'CCONJ' 'ADV' 'VERB' 'ADP' 'DET' 'ADJ']",negative,Negative,"begin , purpose semester work understand work 2nd
 semester work prepare final","From the beginning of the course I did not know
 what it was , the purpose of the course and the
 first semester work I understood only when working on
 the 2nd semester work and when preparing for the
 final","ADP DET NOUN ADP DET NOUN PRON AUX PART VERB PRON
 PRON AUX PUNCT DET NOUN ADP DET NOUN CCONJ DET ADJ
 NOUN NOUN PRON VERB ADV ADV VERB ADP DET NOUN NOUN
 NOUN CCONJ ADV VERB ADP DET ADJ"
1940,1940,747946,56,,"Ze strany pana docenta jsem velmi ocenil to, že se snažil organizovat schůzky přes Teams (avšak zcela dobrovolné, pokud měl někdo s něčím problém nebo měl někdo nějaký dotaz). Reagoval také velmi rychle na e-maily, takže za mě dobré.",['cs'],"['I' 'greatly' 'appreciated' 'the' 'fact' 'that' 'he' 'tried' 'to'
 'organize' 'meetings' 'through' 'Teams' '(' 'but' 'completely'
 'voluntary' 'if' 'anyone' 'had' 'a' 'problem' 'or' 'had' 'a' 'question'
 ').']","['greatly' 'appreciate' 'fact' 'organize' 'meetings' 'Teams' '('
 'completely' 'voluntary' 'problem' 'question' ').']","['PRON' 'ADV' 'VERB' 'DET' 'NOUN' 'SCONJ' 'PRON' 'VERB' 'PART' 'VERB'
 'NOUN' 'ADP' 'PROPN' 'PUNCT' 'CCONJ' 'ADV' 'ADJ' 'SCONJ' 'PRON' 'VERB'
 'DET' 'NOUN' 'CCONJ' 'VERB' 'DET' 'NOUN' 'NOUN']",positive,Positive,"greatly appreciate fact organize meetings Teams (
 completely voluntary problem question ).","I greatly appreciated the fact that he tried to
 organize meetings through Teams ( but completely
 voluntary if anyone had a problem or had a question
 ).","PRON ADV VERB DET NOUN SCONJ PRON VERB PART VERB
 NOUN ADP PROPN PUNCT CCONJ ADV ADJ SCONJ PRON VERB
 DET NOUN CCONJ VERB DET NOUN NOUN"
1941,1941,747947,47,,"Velmi se mi líbilo samotné řešení, vyzkoušení BI (v programu PowerBI - 2. semestrální práce).",['cs'],"['I' 'loved' 'the' 'solution' 'itself' ',' 'the' 'BI' '(' 'in' 'the'
 'PowerBI' 'program' '-' '2nd' 'semester' 'work' ').']","['love' 'solution' ',' 'BI' '(' 'PowerBI' 'program' '-' '2nd' 'semester'
 'work' ').']","['PRON' 'VERB' 'DET' 'NOUN' 'PRON' 'PUNCT' 'DET' 'PROPN' 'PUNCT' 'ADP'
 'DET' 'NOUN' 'NOUN' 'PUNCT' 'NUM' 'NOUN' 'NOUN' 'PROPN']",positive,Positive,"love solution , BI ( PowerBI program - 2nd semester
 work ).","I loved the solution itself , the BI ( in the
 PowerBI program - 2nd semester work ).","PRON VERB DET NOUN PRON PUNCT DET PROPN PUNCT ADP
 DET NOUN NOUN PUNCT NUM NOUN NOUN PROPN"
1942,1942,743667,56,,-,['Unknown'],['-'],['-'],['PUNCT'],na'],Positive,-,-,PUNCT
1943,1943,743671,57,,-,['Unknown'],['-'],['-'],['PUNCT'],na'],Negative,-,-,PUNCT
1944,1944,747697,45,,"pomalá kontrola úkolů a emailová komunikace cvičícího
p.inženýr Král by si měl uvědomit, že pokud chce v akademické kariéře pokračovat, musí kontrolovat úkoly (a odpovídat na maily) o něco rychleji ",['cs'],"['slow' 'task' 'control' 'and' 'email' 'communication' 'of' 'the'
 'training' 'engineer' 'King' 'should' 'realize' 'that' 'if' 'he' 'wants'
 'to' 'continue' 'his' 'academic' 'career' ',' 'he' 'must' 'check' 'his'
 'tasks' '(' 'and']","['slow' 'task' 'control' 'email' 'communication' 'training' 'engineer'
 'King' 'realize' 'continue' 'academic' 'career' ',' 'check' 'task' '(']","['ADJ' 'NOUN' 'NOUN' 'CCONJ' 'NOUN' 'NOUN' 'ADP' 'DET' 'NOUN' 'NOUN'
 'PROPN' 'AUX' 'VERB' 'SCONJ' 'SCONJ' 'PRON' 'VERB' 'PART' 'VERB' 'PRON'
 'ADJ' 'NOUN' 'PUNCT' 'PRON' 'AUX' 'VERB' 'PRON' 'NOUN' 'PUNCT' 'CCONJ']",negative,Negative,"slow task control email communication training engineer
 King realize continue academic career , check task (","slow task control and email communication of the
 training engineer King should realize that if he wants
 to continue his academic career , he must check his
 tasks ( and","ADJ NOUN NOUN CCONJ NOUN NOUN ADP DET NOUN NOUN
 PROPN AUX VERB SCONJ SCONJ PRON VERB PART VERB PRON
 ADJ NOUN PUNCT PRON AUX VERB PRON NOUN PUNCT CCONJ"
1945,1945,736663,54,,"Dobývání znalostí z databází, Data mining",['cs'],"['Knowledge' 'acquisition' 'from' 'databases' ',' 'Data' 'mining']","['Knowledge' 'acquisition' 'database' ',' 'Data' 'mining']",['PROPN' 'NOUN' 'ADP' 'NOUN' 'PUNCT' 'NOUN' 'NOUN'],negative,Neutral,"Knowledge acquisition database , Data mining","Knowledge acquisition from databases , Data mining",PROPN NOUN ADP NOUN PUNCT NOUN NOUN
